N
N	51.8491
N	51.8491	-8.29956
N	51.8491	-8.29956	P243
N	51.8491	-8.29956	P243	10 Oct 2020
N	51.8491	-8.29956	P243	10 Oct 2020	P243\nCobh to Cork\nExpected Departure 13:30
N	51.8491	-8.29956	P243	10 Oct 2020	P243\nCobh to Cork\nExpected Departure 13:30	To Cork
N
N	52.1396
N	52.1396	-8.65521
N	52.1396	-8.65521	A306
N	52.1396	-8.65521	A306	10 Oct 2020
N	52.1396	-8.65521	A306	10 Oct 2020	A306\nMallow to Tralee\nExpected Departure 13:35
N	52.1396	-8.65521	A306	10 Oct 2020	A306\nMallow to Tralee\nExpected Departure 13:35	To Tralee
N
N	52.8386
N	52.8386	-8.97491
N	52.8386	-8.97491	A475
N	52.8386	-8.97491	A475	10 Oct 2020
N	52.8386	-8.97491	A475	10 Oct 2020	A475\nEnnis to Limerick\nExpected Departure 13:25
N	52.8386	-8.97491	A475	10 Oct 2020	A475\nEnnis to Limerick\nExpected Departure 13:25	To Limerick
N
N	53.0371
N	53.0371	-7.30086
N	53.0371	-7.30086	P212
N	53.0371	-7.30086	P212	10 Oct 2020
N	53.0371	-7.30086	P212	10 Oct 2020	P212\nPortlaoise to Dublin Heuston\nExpected Departure 13:25
N	53.0371	-7.30086	P212	10 Oct 2020	P212\nPortlaoise to Dublin Heuston\nExpected Departure 13:25	To Dublin Heuston
N
N	53.1442
N	53.1442	-6.06085
N	53.1442	-6.06085	E816
N	53.1442	-6.06085	E816	10 Oct 2020
N	53.1442	-6.06085	E816	10 Oct 2020	E816\nGreystones to Malahide\nExpected Departure 13:30
N	53.1442	-6.06085	E816	10 Oct 2020	E816\nGreystones to Malahide\nExpected Departure 13:30	Northbound
N
N	53.3464
N	53.3464	-6.29461
N	53.3464	-6.29461	A706
N	53.3464	-6.29461	A706	10 Oct 2020
N	53.3464	-6.29461	A706	10 Oct 2020	A706\nDublin Heuston to Galway\nExpected Departure 13:25
N	53.3464	-6.29461	A706	10 Oct 2020	A706\nDublin Heuston to Galway\nExpected Departure 13:25	To Galway
R
R	0
R	0	0
R	0	0	A218
R	0	0	A218	10 Oct 2020
R	0	0	A218	10 Oct 2020	A218\n15:00 - Dublin Heuston to Cork (-25 mins late)\nDeparted Killarney Junction next stop Cork
R	0	0	A218	10 Oct 2020	A218\n15:00 - Dublin Heuston to Cork (-25 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R
R	0
R	0	0
R	0	0	A226
R	0	0	A226	10 Oct 2020
R	0	0	A226	10 Oct 2020	A226\n19:00 - Dublin Heuston to Cork (-6 mins late)\nDeparted Killarney Junction next stop Cork
R	0	0	A226	10 Oct 2020	A226\n19:00 - Dublin Heuston to Cork (-6 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R
R	0
R	0	0
R	0	0	A313
R	0	0	A313	10 Oct 2020
R	0	0	A313	10 Oct 2020	A313\n17:20 - Tralee to Mallow (-5 mins late)\nDeparted Killarney Junction next stop Mallow
R	0	0	A313	10 Oct 2020	A313\n17:20 - Tralee to Mallow (-5 mins late)\nDeparted Killarney Junction next stop Mallow	To Mallow
R
R	0
R	0	0
R	0	0	A315
R	0	0	A315	10 Oct 2020
R	0	0	A315	10 Oct 2020	A315\n19:20 - Tralee to Cork (-14 mins late)\nDeparted Killarney Junction next stop Cork
R	0	0	A315	10 Oct 2020	A315\n19:20 - Tralee to Cork (-14 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R
R	0
R	0	0
R	0	0	D208
R	0	0	D208	10 Oct 2020
R	0	0	D208	10 Oct 2020	D208\n13:20 - Dublin Heuston to Portlaoise (1 mins late)\nDeparted Inchicore Advance Starter next stop Park West and Cherry Orchard
R	0	0	D208	10 Oct 2020	D208\n13:20 - Dublin Heuston to Portlaoise (1 mins late)\nDeparted Inchicore Advance Starter next stop Park West and Cherry Orchard	To Portlaoise
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A304
R	52.1396	-8.65521	A304	10 Oct 2020
R	52.1396	-8.65521	A304	10 Oct 2020	A304\n11:35 - Mallow to Tralee (17 mins late)\nDeparted Mallow next stop Banteer
R	52.1396	-8.65521	A304	10 Oct 2020	A304\n11:35 - Mallow to Tralee (17 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A308
R	52.1396	-8.65521	A308	10 Oct 2020
R	52.1396	-8.65521	A308	10 Oct 2020	A308\n15:35 - Mallow to Tralee (-14 mins late)\nDeparted Mallow next stop Banteer
R	52.1396	-8.65521	A308	10 Oct 2020	A308\n15:35 - Mallow to Tralee (-14 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A310
R	52.1396	-8.65521	A310	10 Oct 2020
R	52.1396	-8.65521	A310	10 Oct 2020	A310\n17:40 - Mallow to Tralee (-14 mins late)\nDeparted Mallow next stop Banteer
R	52.1396	-8.65521	A310	10 Oct 2020	A310\n17:40 - Mallow to Tralee (-14 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A312
R	52.1396	-8.65521	A312	10 Oct 2020
R	52.1396	-8.65521	A312	10 Oct 2020	A312\n19:40 - Mallow to Tralee (-23 mins late)\nDeparted Mallow next stop Banteer
R	52.1396	-8.65521	A312	10 Oct 2020	A312\n19:40 - Mallow to Tralee (-23 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R
R	52.1396
R	52.1396	-8.65521
R	52.1396	-8.65521	A314
R	52.1396	-8.65521	A314	10 Oct 2020
R	52.1396	-8.65521	A314	10 Oct 2020	A314\n20:55 - Cork to Tralee (-10 mins late)\nDeparted Mallow next stop Banteer
R	52.1396	-8.65521	A314	10 Oct 2020	A314\n20:55 - Cork to Tralee (-10 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R
R	52.3468
R	52.3468	-8.65362
R	52.3468	-8.65362	A210
R	52.3468	-8.65362	A210	10 Oct 2020
R	52.3468	-8.65362	A210	10 Oct 2020	A210\n11:00 - Dublin Heuston to Cork (7 mins late)\nArrived Charleville next stop Mallow
R	52.3468	-8.65362	A210	10 Oct 2020	A210\n11:00 - Dublin Heuston to Cork (7 mins late)\nArrived Charleville next stop Mallow	To Cork
R
R	52.3468
R	52.3468	-8.65362
R	52.3468	-8.65362	A215
R	52.3468	-8.65362	A215	10 Oct 2020
R	52.3468	-8.65362	A215	10 Oct 2020	A215\n12:35 - Cork to Dublin Heuston (3 mins late)\nArrived Charleville next stop Limerick Junction
